Chunk,Type,Correct Form
blacktop,Compounds,TRUE
blowgun,Compounds,TRUE
bluebell,Compounds,TRUE
blueberry,Compounds,TRUE
bluebird,Compounds,TRUE
bluefish,Compounds,TRUE
bluegrass,Compounds,TRUE
blueprint,Compounds,TRUE
bodyguard,Compounds,TRUE
bodywork,Compounds,TRUE
boldface,Compounds,TRUE
bookend,Compounds,TRUE
bookkeeper,Compounds,TRUE
booklet,Compounds,TRUE
bookmark,Compounds,TRUE
bookmobile,Compounds,TRUE
bookseller,Compounds,TRUE
bookstore,Compounds,TRUE
bookworm,Compounds,TRUE
bootstrap,Compounds,TRUE
bowlegs,Compounds,TRUE
bowtie,Compounds,TRUE
brainchild,Compounds,TRUE
brainwash,Compounds,TRUE
briefcase,Compounds,TRUE
bugspray,Compounds,TRUE
butterball,Compounds,TRUE
buttercup,Compounds,TRUE
butterfingers,Compounds,TRUE
butterflies,Compounds,TRUE
butterfly,Compounds,TRUE
buttermilk,Compounds,TRUE
butternut,Compounds,TRUE
butterscotch,Compounds,TRUE
bypass,Compounds,TRUE
cabdriver,Compounds,TRUE
campfire,Compounds,TRUE
campground,Compounds,TRUE
candlelight,Compounds,TRUE
candlestick,Compounds,TRUE
cardboard,Compounds,TRUE
carefree,Compounds,TRUE
caretaker,Compounds,TRUE
carpetbagger,Compounds,TRUE
carpool,Compounds,TRUE
carport,Compounds,TRUE
carrack,Compounds,TRUE
carryall,Compounds,TRUE
carsick,Compounds,TRUE
cartwheel,Compounds,TRUE
cattail,Compounds,TRUE
catwalk,Compounds,TRUE
caveman,Compounds,TRUE
centercut,Compounds,TRUE
cheeseburger,Compounds,TRUE
cheesecake,Compounds,TRUE
chopstick,Compounds,TRUE
classmate,Compounds,TRUE
clockwise,Compounds,TRUE
coffeemaker,Compounds,TRUE
comeback,Compounds,TRUE
comedown,Compounds,TRUE
commonplace,Compounds,TRUE
commonwealth,Compounds,TRUE
cornmeal,Compounds,TRUE
courthouse,Compounds,TRUE
courtyard,Compounds,TRUE
cowboy,Compounds,TRUE
crewcut,Compounds,TRUE
crossbow,Compounds,TRUE
crossbreed,Compounds,TRUE
crosscut,Compounds,TRUE
crossover,Compounds,TRUE
crosswalk,Compounds,TRUE
cutlet,Compounds,TRUE
dairymaid,Compounds,TRUE
daisywheel,Compounds,TRUE
daredevil,Compounds,TRUE
daybed,Compounds,TRUE
daybook,Compounds,TRUE
daybreak,Compounds,TRUE
daydream,Compounds,TRUE
daylight,Compounds,TRUE
daytime,Compounds,TRUE
deadend,Compounds,TRUE
deadline,Compounds,TRUE
dishcloth,Compounds,TRUE
dishpan,Compounds,TRUE
dishwasher,Compounds,TRUE
dishwater,Compounds,TRUE
diskdrive,Compounds,TRUE
dogwood,Compounds,TRUE
doorbell,Compounds,TRUE
doormat,Compounds,TRUE
doorstep,Compounds,TRUE
doorstop,Compounds,TRUE
doorway,Compounds,TRUE
downbeat,Compounds,TRUE
downunder,Compounds,TRUE
dragonfly,Compounds,TRUE
drawbridge,Compounds,TRUE
driveway,Compounds,TRUE
droplet,Compounds,TRUE
duckbill,Compounds,TRUE
duckpin,Compounds,TRUE
