Chunk,Type,Correct Form
See you in two days,Discourse,TRUE
beautiful view,Collocations,TRUE
meet a friend,Fixed phrases,TRUE
I hope you like my story,Discourse,TRUE
a friend of us,Fixed phrases,TRUE
in a few day,Particles,TRUE
I will text you in a few day,Discourse,TRUE
the sun is shine all day,Fixed phrases,TRUE
I miss you a lot,Discourse,TRUE
Hugs and kisses,Discourse,TRUE
backyard,Compounds,TRUE
boyfriend,Compounds,TRUE
How are you doing,Discourse,TRUE
for about a week,Particles,TRUE
going to look for,Complements,TRUE
bus ride,Collocations,TRUE
checked in,Particles,TRUE
by bus,Particles,TRUE
The jeep safari was my favourite thing ,Structures,TRUE
jeep safari,Collocations,TRUE
the best thing IÕve done till now is swimming,Structures,TRUE
third floor,Collocations,TRUE
what i enjoyed the most was going cycling,Structures,TRUE
The sun is shining,Fixed phrases,TRUE
the smallest city in the world,Structures,TRUE
IÕm currently on vacation,Structures,TRUE
just big enough to fit a bed and a closet,Structures,TRUE
freezing cold,Collocations,TRUE
jump of,Particles,TRUE
football field,Collocations,TRUE
which sounds cool,Structures,TRUE
no space left,Fixed phrases,TRUE
highlight,Compounds,TRUE
throwing up,Particles,TRUE
letÕs forget that,Fixed phrases,TRUE
i am great,Discourse,TRUE
great to see,Complements,TRUE
for the week,Particles,TRUE
Time Square is my favorite place to go,Structures,TRUE
at this point,Fixed phrases,TRUE
last day,Collocations,TRUE
back there,Collocations,TRUE
first day,Collocations,TRUE
I'm looking forward to,Discourse,TRUE
The best thing I did in my vacation is visiting the white house,Structures,TRUE
not what i expected,Fixed phrases,TRUE
speedboat,Compounds,TRUE
skydive,Compounds,TRUE
riding a horse,Collocations,TRUE
next days,Collocations,TRUE
bubble bath,Collocations,TRUE
on the trith floor,Particles,TRUE
on the sides,Particles,TRUE
security guards,Compounds,TRUE
the first of july,Complements,TRUE
on the first of july,Particles,TRUE
skyline,Compounds,TRUE
first time,Collocations,TRUE
once in a lifetime,Fixed phrases,TRUE
IÕm doing fine,Discourse,TRUE
escaped out of,Particles,TRUE
I see you soon,Discourse,TRUE
swim in the sea,Collocations,TRUE
near the sea,Collocations,TRUE
for sure,Fixed phrases,TRUE
coming back home,Fixed phrases,TRUE
planning to,Complements,TRUE
havenÕt done anything yet,Structures,TRUE
summer holiday,Collocations,TRUE
"when itÕs dark, you see",Structures,TRUE
in the future,Fixed phrases,TRUE
in the south of,Particles,TRUE
the south of ,Particles,TRUE
meters high,Collocations,TRUE
jumping from,Particles,TRUE
like that the most,Fixed phrases,TRUE
At this moment,Fixed phrases,TRUE
I hope youÕre fine,Discourse,TRUE
road trip,Collocations,TRUE
soccer players,Collocations,TRUE
soccer player,Collocations,TRUE
football player,Collocations,TRUE
football players,Collocations,TRUE
The coolest thing of this holiday was the derby,Structures,TRUE
on the beach,Collocations,TRUE
watch a match,Collocations,TRUE
The thing I liked the most this week was the party on the beach,Structures,TRUE
other guys,Collocations,TRUE
way bigger,Collocations,TRUE
hit my head,Fixed phrases,TRUE
I like swimming the most,Structures,TRUE
kilometres long,Collocations,TRUE
"I always swim, but not if it is raining",Structures,TRUE
greatings from,Discourse,TRUE
go on vacation,Particles,TRUE
days ago,Collocations,TRUE
I hope you have also a very great vacation,Discourse,TRUE
about four days,Collocations,TRUE
about three weeks,Collocations,TRUE
The loveliest thing that we were doing was going to small sand hills,Structures,TRUE
week ago,Collocations,TRUE
long way,Collocations,TRUE
after a week,Collocations,TRUE
same way,Collocations,TRUE
suitcase,Compounds,TRUE
suitcases,Compounds,TRUE
on the floor,Particles,TRUE
second world war,Collocations,TRUE
right now,Collocations,TRUE
really long ride,Collocations,TRUE
The most fun thing here is the culture,Structures,TRUE
the French really are interesting,Structures,TRUE
Have a nice time,Discourse,TRUE
make my own,Collocations,TRUE
came back from,Particles,TRUE
walk- in-closet,Compounds,TRUE
on the coast,Particles,TRUE
the coast of,Particles,TRUE
on the coast of,Particles,TRUE
takes part,Collocations,TRUE
takes part in,Particles,TRUE
the most beautiful zoo in the world,Structures,TRUE
nightstand,Compounds,TRUE
I liked the beach the most,Structures,TRUE
just as amazing as,Structures,TRUE
if I wanted to,Complements,TRUE
isnÕt much bigger than,Structures,TRUE
What I liked the most is Seaworld,Structures,TRUE
IÕll see you soon,Discourse,TRUE
just outside,Collocations,TRUE
for free,Compounds,TRUE
I liked swimming the most,Structures,TRUE
answer soon,Collocations,TRUE
where are you,Discourse,TRUE
oÕclock,Compounds,TRUE
washbasins,Compounds,TRUE
standing at,Particles,TRUE
for six hours,Particles,TRUE
whole life,Collocations,TRUE
the amazingst thing i have ever done in my whole life,Structures,TRUE
ever done,Collocations,TRUE
it was not only much but also very delicious,Structures,TRUE
I am looking forward to,Discourse,TRUE
too hot to do intensive activites,Structures,TRUE
I want to tell you about,Discourse,TRUE
arrived on,Particles,TRUE
the nicest thing what I have done was sailing,Structures,TRUE
I call you soon,Discourse,TRUE
at a restaurant,Particles,TRUE
near the beach,Collocations,TRUE
one day,Collocations,TRUE
It took me only two hours,Structures,TRUE
waterslides,Compounds,TRUE
At night,Particles,TRUE
not that bad,Fixed phrases,TRUE
the best thing weÕve done so far,Structures,TRUE
I canÕt wait to see you again,Discourse,TRUE
a lot of fun,Fixed phrases,TRUE
many more,Collocations,TRUE
après-ski bar,Collocations,TRUE
IÕm calling you soon,Discourse,TRUE
best of all,Fixed phrases,TRUE
it took two days,Structures,TRUE
grandparents,Compounds,TRUE
The thing I like the most is going to the shopping mall,Structures,TRUE
The most fun part found I the diving,Structures,TRUE
wardrobes,Compounds,TRUE
I never have done that before,Structures,TRUE
go out for dinner,Fixed phrases,TRUE
IÕve told you everything,Discourse,TRUE
dining table,Collocations,TRUE
good fun,Collocations,TRUE
Tell me everything,Discourse,TRUE
in the middle of nowhere,Fixed phrases,TRUE
the nicest thing here is the hot weather,Structures,TRUE
think so,Collocations,TRUE
wildlife,Compounds,TRUE
old fashion,Collocations,TRUE
waterfalls,Compounds,TRUE
What I liked the most is that I drove on a way that was super small,Structures,TRUE
drove to,Particles,TRUE
national park,Collocations,TRUE
sightseeing,Compounds,TRUE
The most exciting thing weÕve done is going to the woods,Structures,TRUE
best holiday ever,Structures,TRUE
stay at home,Fixed phrases,TRUE
about four hours,Structures,TRUE
writing you from,Particles,TRUE
volleyball,Compounds,TRUE
so many,Collocations,TRUE
small children,Collocations,TRUE
everyone,Compounds,TRUE
every morning,Collocations,TRUE
from eight to ten AM,Structures,TRUE
my friends and I,Fixed phrases,TRUE
a sort of,Fixed phrases,TRUE
The coolest thing from my holiday ,Structures,TRUE
Every year,Collocations,TRUE
Have you ever been to,Fixed phrases,TRUE
I got to eat ,Structures,TRUE
How is the weather,Discourse,TRUE
two weeks ago,Collocations,TRUE
out here,Collocations,TRUE
in my life,Structures,TRUE
capital city,Collocations,TRUE
not far from,Particles,TRUE
city centre,Collocations,TRUE
fine with that,Fixed phrases,TRUE
the best thing of all was definitely the desert tour,Structures,TRUE
the best thing of all,Fixed phrases,TRUE
the best trip ever,Structures,TRUE
space shuttle,Collocations,TRUE
science lab,Collocations,TRUE
The best thing of the holiday was when we arrived,Structures,TRUE
I am writing this postcard,Discourse,TRUE
thatÕs okay,Discourse,TRUE
indoor,Compounds,TRUE
The most fun thing we did was making weird faces,Structures,TRUE
on our way,Particles,TRUE
at first,Particles,TRUE
go for a,Structures,TRUE
except for,Particles,TRUE
flower print,Collocations,TRUE
it was worth it,Fixed phrases,TRUE
The nicest thing about my vacation is the big blue lake,Structures,TRUE
The most fun thing IÕve experienced on the island till now next to eating at the restaurant,Structures,TRUE
a couple of ,Particles,TRUE
a couple of times,Fixed phrases,TRUE
enjoyed my time here,Structures,TRUE
just as fun as,Structures,TRUE
Have a good day,Discourse,TRUE
bathrooms,Compounds,TRUE
microwave,Compounds,TRUE
snowboarding,Compounds,TRUE
not as much,Fixed phrases,TRUE
The nicest thing of this vacation was meeting much new people,Structures,TRUE
I hope youÕre enjoying your holiday,Discourse,TRUE
as much as,Structures,TRUE
took us two days,Structures,TRUE
early in the morning,Fixed phrases,TRUE
drive for hours,Particles,TRUE
all sorts of,Fixed phrases,TRUE
sleeps on the couch,Fixed phrases,TRUE
ice skating rink,Collocations,TRUE
IÕm great,Discourse,TRUE
jump on,Particles,TRUE
last but not least,Fixed phrases,TRUE
on the third of june,Structures,TRUE
back home,Collocations,TRUE
We will call you,Discourse,TRUE
"The nicest thing of our holiday was, when we walked in the nature",Structures,TRUE
wild animals,Collocations,TRUE
far away from,Particles,TRUE
The trip to Rome was the nicest thing we have done this holiday,Structures,TRUE
table tennis,Collocations,TRUE
very good at,Particles,TRUE
made a new friend,Collocations,TRUE
"The funniest thing I did was, I think, playing in the sea with the waves",Structures,TRUE
quite fun,Collocations,TRUE
The coolest thing that we did so far was going to Paris for a night,Structures,TRUE
for a night,Particles,TRUE
straight line,Collocations,TRUE
some of the,Complements,TRUE
lovely couple,Collocations,TRUE
IÕm really looking forward to,Discourse,TRUE
it is the biggest in the world,Structures,TRUE
pay money,Collocations,TRUE
The greatest thing that we have done when we arrived here is swimming in the swimming pool,Structures,TRUE
have a great holiday,Discourse,TRUE
couple of,Particles,TRUE
I will phone you soon,Discourse,TRUE
it took us like 3.5 hour to get here,Structures,TRUE
something I really enjoyed,Structures,TRUE
My favourite activity was cycling inside a cave,Structures,TRUE
I hope you are enjoying it,Discourse,TRUE
I am really looking forward to,Discourse,TRUE
football match,Collocations,TRUE
The thing I likek the most was the diner on Monday,Structures,TRUE
long journey,Collocations,TRUE
for 5 hours,Particles,TRUE
chocolate bars,Collocations,TRUE
IÕm sure weÕll have fun,Structures,TRUE
"If I could choose an activity for those 2 days, I would say: letÕs stay in the hotel and swim",Structures,TRUE
Kisses and hugs,Discourse,TRUE
how is your vacation,Discourse,TRUE
The next morning,Collocations,TRUE
Hours later,Collocations,TRUE
I will see you when I be back,Discourse,TRUE
took our stuff,Structures,TRUE
That was all,Fixed phrases,TRUE
car ride,Collocations,TRUE
play games,Collocations,TRUE
long time,Collocations,TRUE
For a very long time,Fixed phrases,TRUE
slide in the snow,Collocations,TRUE
shopping: Shopping and more shopping,Structures,TRUE
I donÕt want to go home yet,Structures,TRUE
The best iÕve done till now is cycling around Manhattan,Structures,TRUE
Last Saturday,Collocations,TRUE
long ride,Collocations,TRUE
The nicest thing that I do was yesterday evening,Structures,TRUE
drove here in our van,Structures,TRUE
racing bike,Collocations,TRUE
some of,Collocations,TRUE
inflatable matrasses,Collocations,TRUE
The best thing about my vacation is that there are a lot of nice people,Structures,TRUE
make a lot of friends,Collocations,TRUE
on his racing bike,Particles,TRUE
for 24 hours,Particles,TRUE
having fun,Discourse,TRUE
I met a boy,Fixed phrases,TRUE
the things we liked the most,Fixed phrases,TRUE
IÕll phone you soon,Discourse,TRUE
wakeboard,Compounds,TRUE
The thing I like the most so far on this holiday is the swimming,Structures,TRUE
hot weather,Collocations,TRUE
palm trees,Collocations,TRUE
I think the greatest thing that we did on this holiday is when we went to sea,Structures,TRUE
better weather,Collocations,TRUE
any other,Collocations,TRUE
so soon as,Fixed phrases,TRUE
sleepover,Compounds,TRUE
on the left side from,Particles,TRUE
a dream come true,Fixed phrases,TRUE
roommate,Compounds,TRUE
make a lot of new friends,Collocations,TRUE
The nicest thing from my vacation till now is just sitting in the garden,Structures,TRUE
enjoying myself,Collocations,TRUE
comfortable chairs,Collocations,TRUE
comfortable chair,Collocations,TRUE
all inclusive,Collocations,TRUE
sunny weather,Collocations,TRUE
eating a cookie out of my hand,Fixed phrases,TRUE
good at,Particles,TRUE
bus stop,Collocations,TRUE
days a week,Structures,TRUE
weird to think about that,Complements,TRUE
the longest ride of my life,Structures,TRUE
just for fun,Fixed phrases,TRUE
Hopefully see you next week,Discourse,TRUE
spend like 10 hours,Structures,TRUE
the people are friendly,Fixed phrases,TRUE
last Monday,Collocations,TRUE
left home,Collocations,TRUE
catch a plane,Fixed phrases,TRUE
holiday destination,Collocations,TRUE
downtown,Compounds,TRUE
Let me explain,Discourse,TRUE
way more,Collocations,TRUE
going to the beach is just my favourite thing to do out here,Structures,TRUE
in three days,Particles,TRUE
On the first day,Particles,TRUE
My favourite thing for now is the swimming pool,Structures,TRUE
I hope you have a awesome holiday,Discourse,TRUE
I think the aqua park  was the funniest on vacation so far,Structures,TRUE
friend that we make,Collocations,TRUE
a little later than I expected,Structures,TRUE
sunset,Compounds,TRUE
see the sunset as I walk on the beach,Structures,TRUE
located in,Particles,TRUE
It was the best moment of the trip,Structures,TRUE
forgot to tell,Discourse,TRUE
travelled here by car,Collocations,TRUE
making noise,Collocations,TRUE
I just miss you,Discourse,TRUE
joking around,Fixed phrases,TRUE
different from,Particles,TRUE
watch out,Fixed phrases,TRUE
The best thing that we already did was that we walked in the evening on the beach,Structures,TRUE
rebuild,Compounds,TRUE
My favourite actinitate was we were on ship,Structures,TRUE
the nicest thing that I already did this holiday is shopping,Structures,TRUE
at 6 am,Particles,TRUE
seat by the window,Fixed phrases,TRUE
I could lay there all day,Structures,TRUE
water here is super bright,Collocations,TRUE
other parts,Collocations,TRUE
I think I liked the swimming pool the most,Structures,TRUE
writing a letter ,Collocations,TRUE
I think the best part of the holiday was the shopping part,Structures,TRUE
how are things going,Discourse,TRUE
take long,Collocations,TRUE
lots and lots of,Particles,TRUE
show you some pictures once IÕm home again,Structures,TRUE
the best ten minutes of my life,Structures,TRUE
movie theatre,Collocations,TRUE
the day after that,Fixed phrases,TRUE
I loved the second day of my holiday the most,Structures,TRUE
Lovely greetings,Discourse,TRUE
I will call you soon,Discourse,TRUE
private bathroom,Collocations,TRUE
look for,Particles,TRUE
drove for hours,Fixed phrases,TRUE
see more of,Particles,TRUE
The best thing of our holiday is that we left the Netherlands,Structures,TRUE
a town called,Fixed phrases,TRUE
only about,Collocations,TRUE
planned to,Complements,TRUE
I liked the breakfast in the hotel the most,Structures,TRUE
what about you,Discourse,TRUE
I would like to hear,Complements,TRUE
dining room,Collocations,TRUE
"The most exciting thing of my holiday, from what IÕve done, is swimming in the lake",Structures,TRUE
mobile phone,Collocations,TRUE
whole week,Collocations,TRUE
mobile phone is dead,Fixed phrases,TRUE
Where do you live,Fixed phrases,TRUE
My favourite thing in my room is my table,Structures,TRUE
selfmade,Compounds,TRUE
salon table,Collocations,TRUE
nice little village where everybody knows each other,Fixed phrases,TRUE
look to the right,Fixed phrases,TRUE
straight ahead,Compounds,TRUE
walk straight ahead,Fixed phrases,TRUE
with friendly greetings,Discourse,TRUE
get to,Particles,TRUE
if you want to,Complements,TRUE
primary school,Compounds,TRUE
live together,Collocations,TRUE
that is auch my favourite thing in my room,Structures,TRUE
free time,Collocations,TRUE
in the back of,Particles,TRUE
the back of,Particles,TRUE
build it himself,Fixed phrases,TRUE
every time,Collocations,TRUE
almost never,Collocations,TRUE
zip line,Collocations,TRUE
not too big and not tiny,Structures,TRUE
the biggest sleeping room in the house,Structures,TRUE
build in,Particles,TRUE
my favourite thing in my room are the build in DJ set,Structures,TRUE
doesnÕt even,Collocations,TRUE
my favourite thing in my room is my laptop,Structures,TRUE
a few,Collocations,TRUE
a few things,Collocations,TRUE
I have one favourite thing in my room a xbox three sixty,Structures,TRUE
desk chair,Collocations,TRUE
make-up table,Collocations,TRUE
make-up,Compounds,TRUE
washbasin,Compounds,TRUE
cupcake,Compounds,TRUE
talent for,Particles,TRUE
on your left side,Particles,TRUE
My favourite things in my room are the washbasin,Structures,TRUE
The only things,Collocations,TRUE
self build,Collocations,TRUE
My favourite thing in my room is my ps3,Structures,TRUE
What i don't like,Structures,TRUE
like to,Complements,TRUE
computer games,Collocations,TRUE
play computer games,Collocations,TRUE
else I would've had put it away,Structures,TRUE
two or three times a week,Fixed phrases,TRUE
always wear,Collocations,TRUE
skinny jeans,Collocations,TRUE
My favourite furniture is my comfy sit chair,Structures,TRUE
My favourite thing in my room is wardrobe,Structures,TRUE
on the another side,Particles,TRUE
I do have,Structures,TRUE
They hang in my wardrobe,Structures,TRUE
My favourite thing in my room are my bed,Structures,TRUE
black and white,Collocations,TRUE
very cute,Collocations,TRUE
My favourite thing in my room is my music box,Structures,TRUE
do homework,Collocations,TRUE
one time in two months,Fixed phrases,TRUE
for seven years now,Structures,TRUE
best friends,Compounds,TRUE
favourite subject,Collocations,TRUE
I hope you like,Discourse,TRUE
big room,Collocations,TRUE
small room,Collocations,TRUE
My favourite thing in the room is bed,Structures,TRUE
kick box,Compounds,TRUE
too big for my room,Structures,TRUE
train often,Collocations,TRUE
each side of,Particles,TRUE
In that wardrobe I keep my clothes,Structures,TRUE
things like,Structures,TRUE
good enough,Collocations,TRUE
well organised,Collocations,TRUE
short pants,Collocations,TRUE
long pants,Collocations,TRUE
don't care,Collocations,TRUE
care much,Collocations,TRUE
easy to,Complements,TRUE
at last,Collocations,TRUE
just as long as,Structures,TRUE
tell me,Discourse,TRUE
used to be,Fixed phrases,TRUE
it's not really big but it is also not small,Structures,TRUE
table soccer,Collocations,TRUE
what i like the most of my room is the table soccer game,Structures,TRUE
turn of,Particles,TRUE
the rest of the week,Fixed phrases,TRUE
as fast as,Structures,TRUE
maybe it's an idea if,Structures,TRUE
for the rest of the week,Particles,TRUE
My favourite things in my room are my pillows,Structures,TRUE
I know it sound crazy but,Structures,TRUE
my favourite spot in my room is onder my desks,Structures,TRUE
roof tops,Collocations,TRUE
look out for,Particles,TRUE
it is what it is,Fixed phrases,TRUE
doing it for you,Fixed phrases,TRUE
I guess that's it,Fixed phrases,TRUE
middle school,Collocations,TRUE
first grade,Collocations,TRUE
looks fun to,Complements,TRUE
I keep my clothes in a green cupboard,Structures,TRUE
My favourite thing in my room are my shelfs,Structures,TRUE
maybe,Compounds,TRUE
good idea,Collocations,TRUE
Tv table,Collocations,TRUE
I keep my clothes in my,Structures,TRUE
I mostly wear,Structures,TRUE
the same as,Structures,TRUE
friendly greetings,Discourse,TRUE
i would like it if,Complements,TRUE
straight on from,Particles,TRUE
clean them up,Particles,TRUE
I hope youÕll send me a reply,Discourse,TRUE
My favourite thing in my room is my make-up,Structures,TRUE
At 7 oÕclock,Particles,TRUE
at school,Particles,TRUE
not very big but also not very small,Structures,TRUE
walk-in-closet,Compounds,TRUE
I keep my clothes in the closet,Structures,TRUE
My favourite thing in my room is my walk-in-closet,Structures,TRUE
normal length,Collocations,TRUE
My favourite thing in my room is the bed,Structures,TRUE
big dog,Collocations,TRUE
I see your later,Discourse,TRUE
I do keep my clothes in the wardrobe,Structures,TRUE
my favourite thing in my room is my football,Structures,TRUE
bean bag,Compounds,TRUE
all my,Structures,TRUE
another time,Collocations,TRUE
in the afternoon,Particles,TRUE
just 6 kilometres from,Structures,TRUE
fast cars,Collocations,TRUE
the other ones,Collocations,TRUE
I keep them in my closet,Structures,TRUE
dislike,Compounds,TRUE
long blond hair,Collocations,TRUE
popstars,Compounds,TRUE
every Thursday,Collocations,TRUE
I keep my clothes everywhere,Structures,TRUE
I love my room very much,Structures,TRUE
not big but also not small,Structures,TRUE
side table,Collocations,TRUE
house cleaner,Collocations,TRUE
on the right side in,Particles,TRUE
on the left side in,Particles,TRUE
super soft,Collocations,TRUE
cleaning woman,Collocations,TRUE
My clothes are in the closet,Structures,TRUE
new friends,Collocations,TRUE
penfriends ,Compounds,TRUE
colourful,Compounds,TRUE
My favourite thing in my room is my hamster,Structures,TRUE
that is it,Fixed phrases,TRUE
made by,Particles,TRUE
handmade by,Particles,TRUE
a stack of,Particles,TRUE
in a corner of,Particles,TRUE
in a corner,Particles,TRUE
a corner of,Particles,TRUE
so the floor stays clean,Structures,TRUE
the smallest of my house,Structures,TRUE
go on vacation to,Particles,TRUE
itÕs not big and not small,Structures,TRUE
on Monday,Particles,TRUE
on Tuesday,Particles,TRUE
on Thursday,Particles,TRUE
on Friday,Particles,TRUE
on Saturday,Particles,TRUE
on Sunday,Particles,TRUE
My favourite thing in my room is my wardrobe,Structures,TRUE
This was it,Fixed phrases,TRUE
room for myself,Fixed phrases,TRUE
the favourite thing(s) in my room are the pictures,Structures,TRUE
knock on the door,Fixed phrases,TRUE
IÕm joking,Discourse,TRUE
My favourite thing in my room is my cupboard,Structures,TRUE
ItÕs better than,Structures,TRUE
I keep them in a big wardrobe,Structures,TRUE
My favourite thing in the room is my radio,Structures,TRUE
Õm very lucky ,Fixed phrases,TRUE
i guess,Discourse,TRUE
I also have a favourite thing in my room itÕs the radio,Structures,TRUE
at three oÕclock,Particles,TRUE
pencil case,Collocations,TRUE
My favourite thing in my room is my poef,Structures,TRUE
I have a puzzle and a whiteboard up on my wall,Structures,TRUE
I keep my clothes in a big kast on my chamber,Structures,TRUE
I have also a favourite thing in my room it is my bed,Structures,TRUE
The only special thing is me,Structures,TRUE
have a great week,Discourse,TRUE
kinda,Compounds,TRUE
my favourite thing in my room is my chair,Structures,TRUE
beanbags,Compounds,TRUE
brown hair,Collocations,TRUE
blue eyes,Collocations,TRUE
in the corner,Particles,TRUE
kilometres from,Particles,TRUE
my favourite thing in my room is my playstation and Television,Structures,TRUE
do dear my homework,Collocations,TRUE
my favourite thing in my room is the keyboard and my beam,Structures,TRUE
fun to,Complements,TRUE
just like,Collocations,TRUE
My favourite thing in my whole room is my bed,Structures,TRUE
They are in my really big white closet,Structures,TRUE
My clothes are in the cupboard,Structures,TRUE
My favourite thing is a signed football,Structures,TRUE
My clothes are in the wardrobe,Structures,TRUE
once in two months,Fixed phrases,TRUE
I live in place but I'm born in place,Structures,TRUE
night lamp,Collocations,TRUE
I keep my clothes anywhere,Structures,TRUE
my favourites things in my room is my bed,Structures,TRUE
My favourite thing in my room is a beast from glass,Structures,TRUE
enjoy your,Discourse,TRUE
books for school,Particles,TRUE
My clothes are in my wardrobe,Structures,TRUE
watch tv,Collocations,TRUE
on the left of,Particles,TRUE
my Desk is my favourite thing in my room,Structures,TRUE
summer vacation,Collocations,TRUE
greetings and kisses from,Discourse,TRUE
I keep my clothes in my two wardrobes,Structures,TRUE
My favourite thing in my room is the big relax chair and the television,Structures,TRUE
secondary school,Compounds,TRUE
student books,Collocations,TRUE
My clothes hanging in my wardrobe,Structures,TRUE
I keep my clothes in my bedroom,Structures,TRUE
My favourite thing is the tv,Structures,TRUE
twice a month,Fixed phrases,TRUE
playing computer game,Collocations,TRUE
hanging on the wall,Fixed phrases,TRUE
made in,Particles,TRUE
my favourite thing is a dress,Structures,TRUE
mint green,Collocations,TRUE
My favourite place there is my bed,Structures,TRUE
favourite place,Collocations,TRUE
How is your,Discourse,TRUE
How is it in,Discourse,TRUE
hope to see you on my birthday,Discourse,TRUE
it's ok,Discourse,TRUE
I keep them in a closet,Structures,TRUE
i love my bed the most,Structures,TRUE
start at,Particles,TRUE
put my clothes on,Particles,TRUE
o'clock,Compounds,TRUE
at seven o'clock,Particles,TRUE
In my bedroom is the picture of my football club absolutely my favourite thing in my room,Structures,TRUE
survival run,Collocations,TRUE
in the front,Particles,TRUE
in the front of,Particles,TRUE
nothing else,Collocations,TRUE
My favourite thing in my room is absolutely my bed,Structures,TRUE
three weeks ago,Collocations,TRUE
from light pink to light green,Structures,TRUE
Thank you for,Complements,TRUE
don't really know,Structures,TRUE
don't know,Structures,TRUE
the size of,Particles,TRUE
sleep together with,Particles,TRUE
not little but also not big,Structures,TRUE
waste bin,Collocations,TRUE
What I the most like from my room is my bed,Structures,TRUE
As you open my door can you find my bed,Structures,TRUE
at least,Compounds,TRUE
"my room is small, at least, too small",Structures,TRUE
work on,Particles,TRUE
brush my teeth,Fixed phrases,TRUE
beside that,Collocations,TRUE
"If I would have to choose what's the favourite thing in my room, I would say my bed",Structures,TRUE
I absolutely love them,Structures,TRUE
off tune,Compounds,TRUE
weird things,Collocations,TRUE
I'm going to tell you about,Discourse,TRUE
the first of February,Fixed phrases,TRUE
My birthday is on,Particles,TRUE
do every day my homework,Collocations,TRUE
I think that my bed my favourite thing in my room is,Structures,TRUE
Special info,Collocations,TRUE
street name,Collocations,TRUE
The favourite thing in my room is my radio,Structures,TRUE
big family,Collocations,TRUE
write a letter back,Discourse,TRUE
I kept my clothes in the boxes,Structures,TRUE
I think that my favourite thing in the room my sofa is,Structures,TRUE
almost everything,Collocations,TRUE
My favourite thing in my room it's my keyboard I think,Structures,TRUE
connected to,Particles,TRUE
My favourite thing in my room is my mouse,Structures,TRUE
stepmother,Compounds,TRUE
befriend,Compounds,TRUE
befriend with,Particles,TRUE
My mom cleans my room with me,Structures,TRUE
go now,Collocations,TRUE
every week on,Particles,TRUE
many things,Collocations,TRUE
spend 30 minutes,Collocations,TRUE
the biggest room of my family,Structures,TRUE
magnetic wall,Collocations,TRUE
in the winter,Particles,TRUE
in the past,Fixed phrases,TRUE
My favourite thing in the room is my laptop,Structures,TRUE
spend a lot of time,Fixed phrases,TRUE
refresh,Compounds,TRUE
old toys,Collocations,TRUE
favourite animal,Collocations,TRUE
my favourite furniture is my bed,Structures,TRUE
sleep in the dark,Fixed phrases,TRUE
Can you tell me,Complements,TRUE
a lot more,Collocations,TRUE
fly somewhere out,Particles,TRUE
Did you know ,Discourse,TRUE
I keep my clothes in the spaceship,Structures,TRUE
My favourite thing in my room is my secret chair,Structures,TRUE
just kidding,Fixed phrases,TRUE
You know what,Discourse,TRUE
For now everything is under control,Fixed phrases,TRUE
know more about you,Structures,TRUE
on the second stairs,Particles,TRUE
Last summer,Collocations,TRUE
pictures of,Particles,TRUE
the most right,Collocations,TRUE
the most left,Collocations,TRUE
lounge chair,Collocations,TRUE
i like my new room more then my first room,Structures,TRUE
look on the right side,Collocations,TRUE
look left,Collocations,TRUE
on my floor,Particles,TRUE
everywhere,Compounds,TRUE
not very big but also not small,Structures,TRUE
wall rack,Collocations,TRUE
on top,Collocations,TRUE
digital clock,Collocations,TRUE
In my room have i a favourite thing and that is my desk,Structures,TRUE
game console,Collocations,TRUE
often wear,Collocations,TRUE
my favourite thing in my room is my game console,Structures,TRUE
head set,Collocations,TRUE
so fast as,Structures,TRUE
I keep my clothes in mine wardrobe,Structures,TRUE
know things about you,Structures,TRUE
My favourite things in my room are my guitars,Structures,TRUE
homework and I do it,Collocations,TRUE
play on,Particles,TRUE
no problem,Collocations,TRUE
walk my room in,Particles,TRUE
stereo set,Collocations,TRUE
I have not a favourite thing my room,Structures,TRUE
some information about,Structures,TRUE
sounds very stupid,Collocations,TRUE
Many of my clothes are black,Structures,TRUE
watching videos,Collocations,TRUE
must have,Collocations,TRUE
text message,Collocations,TRUE
My clothes are in a desk in the wall,Structures,TRUE
too many,Collocations,TRUE
not very big and not very small,Structures,TRUE
My favourite things in my room are my keyboard and guitar,Structures,TRUE
don't know about you but,Structures,TRUE
high schools,Compounds,TRUE
many friends,Collocations,TRUE
Now I tell you something about,Discourse,TRUE
the left corner of,Particles,TRUE
in the left corner of,Particles,TRUE
too small for me,Structures,TRUE
I hope that,Complements,TRUE
walk two traps up,Particles,TRUE
in the other corner,Particles,TRUE
I keep my clothes in a closet,Structures,TRUE
My favourite thing in my room is my bureau,Structures,TRUE
nobody else,Collocations,TRUE
gonna,Complements,TRUE
nothing to tell anymore about,Structures,TRUE
movie posters,Collocations,TRUE
in my face,Fixed phrases,TRUE
pretty annoying,Collocations,TRUE
What does your room look like,Structures,TRUE
my clothes are in my closet,Structures,TRUE
right in my face,Structures,TRUE
do everything I want,Fixed phrases,TRUE
How is that possible,Fixed phrases,TRUE
the word for,Particles,TRUE
just say,Collocations,TRUE
end with,Particles,TRUE
good ending,Collocations,TRUE
look out of,Particles,TRUE
smaller than,Structures,TRUE
When you look ,Structures,TRUE
My favourite thing in my room is the photo from my and my horses,Structures,TRUE
whiteboard,Compounds,TRUE
front side,Collocations,TRUE
on the front side,Particles,TRUE
I keep my clothes in my first and second closet,Structures,TRUE
my favourite thing is my P.C.,Structures,TRUE
meet each other,Collocations,TRUE
